Timestamp,Indoor_Temp_C,Indoor_Humidity_Percent
12/22/24 16:00,15.98,67.38
12/22/24 20:00,14.2,73.89
12/23/24 0:00,12.76,70.36
12/23/24 4:00,13.37,51.72
12/23/24 8:00,13.19,64.89
12/23/24 12:00,15.49,48.53
12/23/24 16:00,15.08,45.81
12/23/24 20:00,12.5,65.34
12/24/24 0:00,11.95,70.8
12/24/24 4:00,11.66,72.12
12/24/24 8:00,11.84,59.06
12/24/24 12:00,16.14,37.69
12/24/24 16:00,14.76,38.39
12/24/24 20:00,12.82,48.02
12/25/24 0:00,12.61,53.5
12/25/24 4:00,11.45,52.01
12/25/24 8:00,12.53,51.83
12/25/24 12:00,14.06,68.14
12/25/24 16:00,14.26,65.86
12/25/24 20:00,12.66,66.87
12/26/24 0:00,12.61,75.73
12/26/24 4:00,11.71,72.21
12/26/24 8:00,13.08,75.89
12/26/24 12:00,14.85,75.79
12/26/24 16:00,14.95,75.62
12/26/24 20:00,12.86,82.06
12/27/24 0:00,12.5,85.9
12/27/24 4:00,12.59,86.26
12/27/24 8:00,12.56,84.36
12/27/24 12:00,15.33,79.03
12/27/24 16:00,14.89,78.52
12/27/24 20:00,13.09,81.34
12/28/24 0:00,13.08,85.84
12/28/24 4:00,13.24,79.77
12/28/24 8:00,12.62,82.56
12/28/24 12:00,16.11,63.44
12/28/24 16:00,16.79,62.67
12/28/24 20:00,13.54,79.99
12/29/24 0:00,12.38,84.48
12/29/24 4:00,11.78,84.42
12/29/24 8:00,11.67,84.58
12/29/24 12:00,16.59,65.9
12/29/24 16:00,17.43,61.4
12/29/24 20:00,13.34,80.03
12/30/24 0:00,11.58,85.55
12/30/24 4:00,10.54,88.96
12/30/24 8:00,10.17,87.6
12/30/24 12:00,15.98,68.61
12/30/24 16:00,16.49,60.3
12/30/24 20:00,14.07,80.24
12/31/24 0:00,12.17,89.12
12/31/24 4:00,10.29,87.16
12/31/24 8:00,9.6,89
12/31/24 12:00,15.26,73.74
12/31/24 16:00,16.08,71.98
12/31/24 20:00,13.96,85.75
1/1/25 0:00,13.2,84.35
1/1/25 4:00,12.15,85.97
1/1/25 8:00,11.76,90.92
1/1/25 12:00,16.97,75.47
1/1/25 16:00,16.63,71.56
1/1/25 20:00,14.55,78.02
1/2/25 0:00,13.79,83.77
1/2/25 4:00,13.09,83.5
1/2/25 8:00,13.38,81.62
1/2/25 12:00,17.51,64.05
1/2/25 16:00,16.79,67.51
1/2/25 20:00,14.63,77.82
1/3/25 0:00,12.2,87.19
1/3/25 4:00,11.34,85.41
1/3/25 8:00,10.63,87.36
1/3/25 12:00,15.62,73.65
1/3/25 16:00,17.64,63.71
1/3/25 20:00,14.27,81
1/4/25 0:00,14.17,81.55
1/4/25 4:00,14.06,79.83
1/4/25 8:00,13.96,73.37
1/4/25 12:00,17.13,69.68
1/4/25 16:00,16.86,72.46
1/4/25 20:00,15.07,81.11
1/5/25 0:00,13.76,84.27
1/5/25 4:00,13.17,80.67
1/5/25 8:00,12.52,82.27
1/5/25 12:00,17.27,65.09
1/5/25 16:00,19.41,56.73
1/5/25 20:00,15.34,64.8
1/6/25 0:00,13.6,67.69
1/6/25 4:00,12.48,70.32
1/6/25 8:00,13,60.69
1/6/25 12:00,17.44,55.37
1/6/25 16:00,18.93,54.29
1/6/25 20:00,16.45,53.89
1/7/25 0:00,15.02,65.92
1/7/25 4:00,13.5,67.87
1/7/25 8:00,12.43,73.54
1/7/25 12:00,17.49,60.46
1/7/25 16:00,17.05,62.8
1/7/25 20:00,14.99,75.1
1/8/25 0:00,14.26,69.79
1/8/25 4:00,12.82,78.96
1/8/25 8:00,11.75,77.71
1/8/25 12:00,16.61,59.29
1/8/25 16:00,17.59,57.57
1/8/25 20:00,13.95,72.35
1/9/25 0:00,11.75,71.82
1/9/25 4:00,11.28,72.28
1/9/25 8:00,11.06,65.67
1/9/25 12:00,17.38,54.51
1/9/25 16:00,18.74,50.43
1/9/25 20:00,16.69,66.34
1/10/25 0:00,14.23,75.93
1/10/25 4:00,14.9,77.98
1/10/25 8:00,14.26,81.82
1/10/25 12:00,18.45,65.28
1/10/25 16:00,18.75,61.2
1/10/25 20:00,16.22,76.15
1/11/25 0:00,14.91,80.81
1/11/25 4:00,14.35,80.46
1/11/25 8:00,13.43,76.28
1/11/25 12:00,18.04,57.31
1/11/25 16:00,18.08,57.46
1/11/25 20:00,16.61,68.79
1/12/25 0:00,15.84,75.8
1/12/25 4:00,14.79,82.62
1/12/25 8:00,14.76,70.95
1/12/25 12:00,16.41,56.68
1/12/25 16:00,15.61,65.06
1/12/25 20:00,12.92,82.54
1/13/25 0:00,12.94,84.68
1/13/25 4:00,11.89,83.27
1/13/25 8:00,11.78,83.63
1/13/25 12:00,13.19,73.51
1/13/25 16:00,12.95,73.32
1/13/25 20:00,12.34,73.28
1/14/25 0:00,11.32,81.51
1/14/25 4:00,11.39,81.32
1/14/25 8:00,12.12,82.55
1/14/25 12:00,13.51,83.04
1/14/25 16:00,14.64,73.46
1/14/25 20:00,13.58,66.15
1/15/25 0:00,13.44,71.87
1/15/25 4:00,12,78.77
1/15/25 8:00,11.56,81.34
1/15/25 12:00,14.09,65.01
1/15/25 16:00,14.62,59.65
1/15/25 20:00,11.58,73.63
1/16/25 0:00,11.83,78.51
1/16/25 4:00,11.4,80.7
1/16/25 8:00,10.51,83.15
1/16/25 12:00,14.53,67.51
1/16/25 16:00,15.62,51.63
1/16/25 20:00,12.6,74.35
1/17/25 0:00,12.9,73.07
1/17/25 4:00,13.67,83.75
1/17/25 8:00,13.96,81.01
1/17/25 12:00,16.68,75.95
1/17/25 16:00,13.13,72.43
1/17/25 20:00,11.41,69.65
1/18/25 0:00,12.94,65.73
1/18/25 4:00,12.54,65.78
1/18/25 8:00,12.14,79.64
1/18/25 12:00,14.38,61.89
1/18/25 16:00,14.79,61.48
1/18/25 20:00,13.17,73.07
1/19/25 0:00,12.89,75.53
1/19/25 4:00,11.27,83.87
1/19/25 8:00,10.69,82.55
1/19/25 12:00,16.27,63.94
1/19/25 16:00,17.12,55.31
1/19/25 20:00,13.3,77.33
1/20/25 0:00,12.81,81.04
1/20/25 4:00,12.41,79.73
1/20/25 8:00,11.79,81.89
1/20/25 12:00,16.18,60.46
1/20/25 16:00,17.11,52.48
1/20/25 20:00,13.7,76.12
1/21/25 0:00,11.86,83.94
1/21/25 4:00,9.86,87.07
1/21/25 8:00,9.55,85.57
1/21/25 12:00,16.21,55.36
1/21/25 16:00,17.28,55.57
1/21/25 20:00,15.97,70.37
